Year,Model,Config,MPGe_combined,MPGe_city,MPGe_highway,price_low,price_high,range_in_miles
2017,2017 Tesla Model X AWD - P100D,"Automatic (A1), Electricity",86,81,92,135500.0,135500.0,289
2017,2017 Mercedes-Benz B250e,"Automatic (A1), Electricity",84,85,82,,,87
2017,2017 BYD e6,"Automatic (A1), Electricity",72,73,71,,,187
2018,2018 Hyundai Ioniq Electric,"Automatic (A1), Electricity",136,150,122,29500.0,36000.0,124
2018,2018 Tesla Model 3 Long Range,"Automatic (A1), Electricity",130,136,123,49000.0,49000.0,310
2018,2018 Tesla Model 3 Mid Range,"Automatic (A1), Electricity",123,128,117,,,260
2018,2018 Chevrolet Bolt EV,"Automatic (A1), Electricity",119,128,110,,,238
2018,2018 Volkswagen e-Golf,"Automatic (A1), Electricity",119,126,111,30495.0,37345.0,125
2018,2018 BMW i3 (94Ah),"Automatic (A1), Electricity",118,129,106,44450.0,44450.0,114
2018,2018 Tesla Model 3 Long Range  AWD,"Automatic (A1), Electricity",116,120,112,55000.0,55000.0,310
2018,2018 Tesla Model 3 Long Range  AWD Performance,"Automatic (A1), Electricity",116,120,112,64000.0,64000.0,310
2018,2018 Honda Clarity EV,"Automatic (A1), Electricity",114,126,103,36620.0,36620.0,89
2018,2018 BMW i3s (94Ah),"Automatic (A1), Electricity",112,126,99,47650.0,47650.0,107
2018,2018 Nissan Leaf,"Automatic (A1), Electricity",112,125,100,29990.0,36200.0,151
2018,2018 Fiat 500e,"Automatic (A1), Electricity",112,121,103,32995.0,32995.0,84
2018,2018 smart fortwo electric drive coupe,"Automatic (A1), Electricity",108,124,94,23800.0,26640.0,58
2018,2018 Kia Soul Electric,"Automatic (A1), Electricity",108,124,93,,,111
2018,2018 Ford Focus Electric,"Automatic (A1), Electricity",107,118,96,29120.0,29120.0,115
2018,2018 Tesla Model S 75D,"Automatic (A1), Electricity",103,102,105,74500.0,74500.0,259
2018,2018 smart fortwo electric drive convertible,"Automatic (A1), Electricity",102,112,91,28100.0,29100.0,57
2018,2018 Tesla Model S 100D,"Automatic (A1), Electricity",102,101,102,94000.0,94000.0,335
2018,2018 Tesla Model S 75kWh,"Automatic (A1), Electricity",98,97,100,74500.0,74500.0,249
2018,2018 Tesla Model S P100D,"Automatic (A1), Electricity",98,92,105,135000.0,135000.0,315
2018,2018 Tesla Model X 75D,"Automatic (A1), Electricity",93,91,95,79500.0,79500.0,238
2018,2018 Tesla Model X 100D,"Automatic (A1), Electricity",87,86,89,96000.0,96000.0,295
